time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2021-08-08,37.9,32.7,43.9,32,,,3.1,,1004.2,,
2021-08-09,37.9,33.5,44.0,31,,,4.2,,1003.6,,
2021-08-10,37.8,32.6,44.5,34,,,2.8,,1001.8,,
2021-08-11,37.8,32.5,43.9,33,,,2.4,,1001.8,,
2021-08-12,37.6,32.2,43.8,33,,,2.1,,1003.4,,
2021-08-13,37.2,32.7,43.3,35,,,2.6,,1003.9,,
2021-08-14,36.8,32.5,42.4,41,,,3.2,,1001.5,,
2021-08-15,36.1,32.9,41.3,48,,,4.2,,1001.6,,
2021-08-16,36.4,32.0,42.3,45,,,2.7,,1003.2,,
2021-08-17,36.1,31.7,42.2,45,,,2.7,,1002.7,,
2021-08-18,35.8,31.3,41.6,49,,,2.7,,1001.2,,
2021-08-19,36.1,31.0,42.3,48,,,2.3,,1000.1,,
2021-08-20,36.3,30.8,43.0,44,,,2.1,,999.9,,
2021-08-21,36.1,30.5,43.0,44,,,2.4,,1000.7,,
2021-08-22,36.0,31.1,42.0,43,,,2.3,,1001.6,,
2021-08-23,36.3,31.5,42.5,44,,,2.4,,1001.4,,
2021-08-24,36.0,31.7,41.7,46,,,2.1,,1002.0,,
2021-08-25,35.9,31.6,42.5,48,,,2.6,,1002.2,,
2021-08-26,35.9,32.2,40.9,51,,,4.3,,1001.8,,
2021-08-27,37.5,32.8,44.1,46,,,2.9,,1001.8,,
2021-08-28,37.9,33.0,44.3,44,,,3.2,,1000.7,,
2021-08-29,39.4,33.4,47.3,36,,,2.5,,998.1,,
2021-08-30,39.3,33.6,47.0,35,,,2.6,,997.0,,
2021-08-31,38.1,33.7,44.1,42,,,4.8,,998.7,,
2021-09-01,37.5,33.9,42.5,46,,,5.6,,1000.8,,
2021-09-02,36.2,32.6,40.8,53,,,5.3,,1002.3,,
2021-09-03,35.7,31.7,40.7,55,,,4.0,,1002.2,,
2021-09-04,35.5,31.4,41.0,54,,,3.7,,1002.0,,
2021-09-05,35.8,31.5,41.5,53,,,3.3,,1002.0,,
2021-09-06,35.9,32.1,41.5,52,,,3.1,,1003.5,,
2021-09-07,36.0,32.1,42.7,52,,,2.4,,1004.0,,
2021-09-08,37.3,32.6,44.5,48,,,2.6,,1002.0,,
2021-09-09,37.1,33.3,43.0,49,,,4.7,,1002.0,,
2021-09-10,36.1,32.3,41.5,55,,,3.5,,1004.9,,
2021-09-11,35.8,32.1,41.9,53,,,2.6,,1004.1,,
2021-09-12,35.2,31.9,41.2,50,,,2.8,,1002.7,,
2021-09-13,34.5,30.3,40.7,47,,,2.5,,1003.2,,
2021-09-14,34.8,29.8,41.7,43,,,2.1,,1003.8,,
2021-09-15,33.4,28.7,41.3,43,,,2.1,,1004.4,,
2021-09-16,32.1,25.4,40.3,43,,,2.7,,1003.7,,
